FSGA,TANF_IND,REALPROP,FSTOTDE2,FSNONCIT,HWGT,TPOV,FSTANF,FSUNEARN,FSGRINC,FSTOTDED,FSWAGES,FSUSIZE,CERTHHSZ,LIQRESOR,FSDIS,RAWERND,FSNETINC,FSERNDED,FSSLTDED,WRK_POOR,FSERNDE2,FSEARN,FSSLTDE2,FSSTDDE2,FSNELDER,SHELDED,FSSSI,FSASSET,RAWNET,CAT_ELIG,VEHICLEA,FSVEHAST
0.0,0.0,0.0,40.0,0.0,711.655694960853,5.0,0.0,40.0,40.0,134.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
231.0,0.0,0.0,509.0,0.0,945.5684625756128,113.0,0.0,231.0,1244.0,509.0,1013.0,2.0,2.0,0.0,0.0,203.0,735.0,202.0,173.0,1.0,303.0,1013.0,173.0,201.0,1.0,173.0,0.0,0.0,734.0,0.0,1.0,0.0
0.0,0.0,0.0,547.0,0.0,730.1300923602863,74.0,0.0,603.0,603.0,547.0,0.0,1.0,1.0,0.0,1.0,0.0,56.0,0.0,413.0,0.0,0.0,0.0,413.0,201.0,0.0,463.0,603.0,0.0,5.0,1.0,1.0,0.0
0.0,0.0,0.0,134.0,0.0,869.2314375616088,108.0,0.0,881.0,881.0,134.0,0.0,1.0,1.0,0.0,1.0,0.0,747.0,0.0,0.0,0.0,0.0,0.0,0.0,134.0,0.0,0.0,0.0,0.0,747.0,0.0,1.0,0.0
0.0,0.0,0.0,386.0,0.0,869.2314375616089,113.0,0.0,923.0,923.0,386.0,0.0,1.0,1.0,0.0,0.0,0.0,537.0,0.0,198.0,0.0,0.0,0.0,198.0,201.0,1.0,198.0,0.0,0.0,536.0,0.0,1.0,0.0
0.0,1.0,0.0,263.0,0.0,926.0073359137072,85.0,231.0,940.0,940.0,263.0,0.0,2.0,2.0,0.0,1.0,0.0,677.0,0.0,129.0,0.0,0.0,0.0,129.0,201.0,0.0,129.0,156.0,0.0,677.0,1.0,1.0,0.0
0.0,0.0,0.0,253.0,0.0,826.0282440535424,57.0,0.0,623.0,623.0,253.0,0.0,2.0,2.0,0.0,0.0,0.0,370.0,0.0,119.0,0.0,0.0,0.0,119.0,201.0,1.0,119.0,247.0,0.0,370.0,0.0,1.0,0.0
231.0,0.0,0.0,134.0,0.0,743.1708434696594,28.0,0.0,231.0,231.0,134.0,0.0,1.0,1.0,0.0,0.0,0.0,97.0,0.0,0.0,0.0,0.0,0.0,0.0,134.0,0.0,0.0,0.0,0.0,97.0,1.0,1.0,0.0
0.0,0.0,0.0,459.0,0.0,1084.9357846450434,117.0,0.0,0.0,1625.0,459.0,1625.0,3.0,3.0,210.0,0.0,325.0,1166.0,325.0,0.0,1.0,325.0,1625.0,0.0,134.0,0.0,0.0,0.0,210.0,1166.0,0.0,1.0,0.0
231.0,0.0,0.0,134.0,0.0,743.1708434696594,28.0,0.0,231.0,231.0,134.0,0.0,1.0,1.0,0.0,0.0,0.0,97.0,0.0,0.0,0.0,0.0,0.0,0.0,134.0,0.0,0.0,0.0,0.0,97.0,1.0,1.0,0.0
0.0,1.0,0.0,436.0,1.0,1029.4897706171243,46.0,294.0,1150.0,1150.0,436.0,0.0,7.0,7.0,0.0,1.0,0.0,714.0,0.0,250.0,0.0,0.0,0.0,250.0,279.0,0.0,250.0,523.0,0.0,714.0,1.0,1.0,0.0
0.0,0.0,0.0,100.0,0.0,705.4012962642041,9.0,0.0,100.0,100.0,134.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
0.0,0.0,0.0,471.0,0.0,761.6452408870326,76.0,0.0,623.0,623.0,471.0,0.0,1.0,1.0,2.0,1.0,0.0,152.0,0.0,337.0,0.0,0.0,0.0,337.0,201.0,0.0,337.0,25.0,2.0,151.0,1.0,1.0,0.0
0.0,1.0,0.0,910.0,0.0,958.3204150285828,80.0,326.0,326.0,1557.0,910.0,1231.0,5.0,5.0,0.0,0.0,246.0,647.0,246.0,417.0,1.0,274.0,1231.0,417.0,162.0,0.0,417.0,0.0,0.0,647.0,1.0,1.0,0.0
0.0,1.0,0.0,231.0,0.0,711.655694960853,28.0,231.0,231.0,231.0,551.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,417.0,0.0,0.0,0.0,97.0,0.0,0.0,417.0,0.0,0.0,0.0,1.0,1.0,0.0
231.0,0.0,0.0,134.0,0.0,743.1708434696594,28.0,0.0,231.0,231.0,134.0,0.0,1.0,1.0,0.0,0.0,0.0,97.0,0.0,0.0,0.0,0.0,0.0,0.0,134.0,0.0,0.0,0.0,0.0,97.0,1.0,1.0,0.0
0.0,0.0,0.0,398.0,0.0,1011.3041718713245,78.0,0.0,0.0,1296.0,398.0,1296.0,4.0,4.0,0.0,0.0,260.0,898.0,259.0,0.0,1.0,259.0,1296.0,0.0,139.0,0.0,0.0,0.0,0.0,900.0,0.0,1.0,0.0
0.0,0.0,0.0,483.0,0.0,798.594035706463,92.0,0.0,750.0,750.0,483.0,0.0,1.0,1.0,0.0,0.0,0.0,267.0,0.0,349.0,0.0,0.0,0.0,349.0,201.0,0.0,348.0,0.0,0.0,268.0,0.0,1.0,0.0
0.0,0.0,0.0,198.0,0.0,844.2366646014949,74.0,0.0,603.0,603.0,198.0,0.0,1.0,1.0,0.0,0.0,0.0,405.0,0.0,64.0,0.0,0.0,0.0,64.0,198.0,1.0,65.0,603.0,0.0,405.0,1.0,1.0,0.0
0.0,0.0,0.0,299.0,0.0,810.5480575611468,74.0,0.0,603.0,603.0,299.0,0.0,1.0,1.0,948.0,1.0,0.0,304.0,0.0,165.0,0.0,0.0,0.0,165.0,201.0,0.0,165.0,603.0,948.0,303.0,1.0,1.0,0.0
0.0,0.0,0.0,0.0,0.0,711.655694960853,0.0,0.0,0.0,0.0,134.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
0.0,1.0,0.0,238.0,0.0,754.3041129423528,35.0,389.0,389.0,389.0,238.0,0.0,2.0,2.0,0.0,0.0,0.0,151.0,0.0,104.0,0.0,0.0,0.0,104.0,201.0,0.0,104.0,0.0,0.0,150.0,1.0,1.0,0.0
0.0,0.0,0.0,482.0,0.0,981.9624818750046,77.0,0.0,0.0,1290.0,482.0,1290.0,4.0,4.0,403.0,0.0,258.0,808.0,258.0,85.0,1.0,343.0,1290.0,85.0,208.0,0.0,85.0,0.0,403.0,807.0,0.0,1.0,0.0
0.0,0.0,0.0,773.0,0.0,866.5032035168679,92.0,0.0,155.0,1268.0,773.0,1113.0,3.0,3.0,0.0,0.0,223.0,495.0,222.0,417.0,1.0,274.0,1113.0,417.0,142.0,0.0,417.0,0.0,0.0,495.0,0.0,1.0,0.0
0.0,0.0,0.0,812.0,0.0,711.655694960853,99.0,0.0,0.0,812.0,842.0,812.0,1.0,1.0,0.0,0.0,162.0,0.0,162.0,417.0,1.0,212.0,812.0,387.0,170.0,0.0,417.0,0.0,0.0,0.0,0.0,1.0,0.0
0.0,0.0,0.0,492.0,0.0,869.2314375616089,127.0,0.0,452.0,1041.0,492.0,589.0,1.0,1.0,0.0,1.0,118.0,549.0,117.0,228.0,1.0,175.0,589.0,228.0,201.0,0.0,229.0,95.0,0.0,547.0,1.0,1.0,0.0
0.0,1.0,0.0,134.0,0.0,788.258696840136,28.0,389.0,389.0,389.0,134.0,0.0,3.0,3.0,0.0,0.0,0.0,255.0,0.0,0.0,0.0,0.0,0.0,0.0,134.0,0.0,0.0,0.0,0.0,255.0,1.0,1.0,0.0
0.0,0.0,0.0,0.0,0.0,711.655694960853,0.0,0.0,0.0,0.0,134.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
0.0,0.0,0.0,726.0,2.0,760.2697129613572,51.0,0.0,0.0,852.0,726.0,852.0,4.0,4.0,0.0,0.0,170.0,126.0,170.0,417.0,1.0,170.0,852.0,417.0,139.0,0.0,417.0,0.0,0.0,125.0,0.0,1.0,0.0
0.0,1.0,0.0,170.0,0.0,704.5805438707989,12.0,120.0,170.0,170.0,611.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,417.0,0.0,0.0,0.0,0.0,0.0,0.0,417.0,0.0,0.0,0.0,1.0,1.0,0.0
0.0,0.0,0.0,0.0,0.0,711.655694960853,0.0,0.0,0.0,0.0,134.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
0.0,0.0,0.0,0.0,0.0,747.4949387192787,0.0,0.0,0.0,0.0,579.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,417.0,0.0,0.0,0.0,0.0,0.0,0.0,417.0,0.0,0.0,0.0,0.0,1.0,0.0
0.0,1.0,0.0,351.0,0.0,796.6865540457782,57.0,114.0,114.0,630.0,351.0,516.0,2.0,2.0,0.0,0.0,103.0,279.0,103.0,114.0,1.0,154.0,516.0,114.0,201.0,0.0,115.0,0.0,0.0,278.0,1.0,1.0,0.0
